hammer	0	0	0	0	0.01	0	0.01	0.06	0.03	0.03	0.1	0.17	0.18	0.23	0.3	0.4	0.41	0.45	0.55	0.63	0.73	0.62	0.79
blow	0	0	0	0	0.02	0.01	0.03	0.1	0.07	0.05	0.17	0.24	0.27	0.27	0.43	0.45	0.56	0.63	0.71	0.68	0.86	0.7	0.86
drove									0	0	0.02	0.01	0.01	0.01	0.03	0.03	0.03	0.04	0.08	0.09	0.2	0.13	0.2
pudding									0.01	0.02	0.06	0.07	0.09	0.09	0.18	0.17	0.26	0.31	0.35	0.34	0.54	0.46	0.61
snowman									0.01	0.02	0.04	0.08	0.1	0.17	0.24	0.29	0.32	0.4	0.46	0.5	0.61	0.59	0.75
foots									0	0.01	0.02	0.04	0.02	0.04	0.06	0.07	0.09	0.07	0.17	0.15	0.14	0.1	0.19
mad									0.01	0.02	0.01	0.05	0.06	0.08	0.15	0.21	0.25	0.32	0.39	0.43	0.58	0.54	0.66
bite	0	0	0.01	0.01	0.02	0.02	0.05	0.14	0.13	0.17	0.29	0.36	0.37	0.45	0.59	0.64	0.65	0.72	0.79	0.77	0.91	0.81	0.9
outside	0	0	0.01	0.02	0.01	0.06	0.07	0.2	0.23	0.3	0.43	0.52	0.59	0.62	0.71	0.76	0.76	0.79	0.85	0.87	0.93	0.87	0.95
naughty	0	0	0	0	0	0	0.01	0.03	0.01	0.02	0.05	0.06	0.05	0.05	0.05	0.14	0.16	0.2	0.19	0.27	0.3	0.28	0.34
inside/in	0	0	0	0.01	0.01	0	0.02	0.04	0.07	0.09	0.18	0.25	0.27	0.33	0.46	0.48	0.58	0.61	0.71	0.68	0.85	0.74	0.86
doed									0	0	0.01	0.01	0	0	0.03	0.02	0.05	0.05	0.06	0.05	0.07	0.06	0.1
drank									0	0	0.02	0.02	0.02	0.05	0.07	0.08	0.13	0.17	0.25	0.22	0.42	0.25	0.43
I no do it / I can't do it									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
gonna get you!									0.08	0.12	0.17	0.22	0.23	0.26	0.33	0.47	0.5	0.56	0.69	0.59	0.78	0.69	0.78
closet									0.01	0.01	0.05	0.11	0.11	0.17	0.27	0.28	0.42	0.44	0.55	0.62	0.74	0.69	0.8
ear	0	0	0	0.01	0.01	0.04	0.11	0.24	0.31	0.45	0.59	0.7	0.7	0.75	0.84	0.92	0.86	0.89	0.92	0.95	0.97	0.95	0.97
egg	0	0	0	0	0.01	0.02	0.06	0.12	0.12	0.16	0.26	0.35	0.41	0.49	0.57	0.64	0.68	0.74	0.79	0.79	0.91	0.83	0.92
these my tooth / these my teeth									0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
tray									0.01	0.01	0.02	0.04	0.05	0.07	0.08	0.11	0.14	0.15	0.19	0.22	0.33	0.32	0.4
dark	0	0	0	0	0	0	0	0.03	0.03	0.04	0.07	0.12	0.15	0.16	0.26	0.38	0.46	0.5	0.56	0.54	0.75	0.65	0.81
holded									0	0	0.01	0	0.01	0	0.01	0.02	0.03	0.02	0.04	0.05	0.07	0.06	0.08
had									0	0	0.01	0.02	0	0	0.05	0.06	0.08	0.11	0.2	0.17	0.34	0.22	0.31
give	0	0	0	0.01	0	0	0	0.03	0.03	0.03	0.06	0.12	0.14	0.17	0.28	0.34	0.42	0.48	0.61	0.58	0.78	0.71	0.79
gotted									0	0	0	0	0	0	0.01	0	0.01	0.02	0.01	0.03	0.02	0.01	0.03
pony	0	0	0	0.01	0	0.01	0.02	0.06	0.03	0.02	0.06	0.12	0.14	0.22	0.28	0.24	0.31	0.34	0.44	0.46	0.59	0.51	0.58
give me five!									0.07	0.11	0.19	0.26	0.31	0.27	0.37	0.37	0.48	0.56	0.58	0.59	0.7	0.68	0.72
lemme/let me									0.01	0.03	0.04	0.07	0.13	0.12	0.24	0.31	0.36	0.43	0.59	0.57	0.71	0.65	0.79
were									0	0	0	0.01	0.02	0	0.03	0.04	0.05	0.08	0.14	0.17	0.23	0.21	0.28
shake									0.01	0.04	0.07	0.12	0.13	0.16	0.25	0.28	0.36	0.36	0.5	0.45	0.63	0.56	0.67
